Brand,Role,Description,Detail URL,Guild,Subcategory,Industry,LevelOfSpecialization
3DEXCITE,3D Demonstrator,"Create impactful 3D experiences for commercial customer engagements from VR to web",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-demonstrator/?role=true,Illusionist / Performer,"Interactive Experiences","Generic",2
SOLIDWORKS,3D Designer for Education,"Browser-based design, engineering and sculpting on the cloud, complete with Design Guidance",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-designer-for-education/?role=true,Designer / Artisan,"Education (CAD)","Education",1
CATIA,3D Innovator,"Reduce design cost, shorten time to market and enhance quality with powerful web-based 3D design and collaboration applications",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-innovator/?role=true,Designer / Artisan,"Cloud-Based CAD","Generic",1
CATIA,3D Innovator for Education,"Browser-based CAD design & generative modelling application that uniquely combines graphical visual scripting and interactive 3D-modelling",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-innovator-for-education/?role=true,Designer / Artisan,"Education (CAD)","Education",1
SIMULIA,3D Motion Creator,"Validate the kinematic and dynamic behavior of complex mechanical assemblies in a browser-based design analysis solution.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-motion-creator/?role=true,Engineer / Analyst,"Motion & Kinematics","Generic",2
CATIA,3D Pattern Shape Creator,"Design, explore and validate variants of complex, repetitive and non-regular shapes and patterns with an intuitive algorithmic approach",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-pattern-shape-creator/?role=true,Designer / Artisan,"Algorithmic Design / Patterns","Generic",2
ENOVIA,3D Product Architect,"Enable designers to navigate and author multi-CAD product structures with a shared experience between structure and 3D visualization.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-product-architect/?role=true,Librarian / Scribe,"Product Structure & Collaboration","Generic",2
3DEXCITE,3D Publication Credit Pack,"Enables makers, designers, CGI artists and marketers using 3DEXCITE xStudio and xHighlight to generate photorealistic renderings by leveragi…",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-publication-credit-pack/?role=true,Illusionist / Performer,"Rendering & Publication","Generic",2
3DEXCITE,3D Render,"Easily create & share photorealistic renderings of your product to promote a design and deliver stunning content for customer engagements",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-render/?role=true,Illusionist / Performer,"Rendering & Publication","Generic",1
CATIA,3D Shape Designer,"Enable creative Design any time, anywhere on any device, with Web browser Apps for 3D Design, freeform Shape Sculpting and pattern Design",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-shape-designer/?role=true,Designer / Artisan,"Surface & Shape","Generic",1
CATIA,3D Technical Illustrator,"Enable Technical Illustrator to deliver technical product illustration experiences anywhere, anytime on any device",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-technical-illustrator/?role=true,Designer / Artisan,"Technical Illustration","Generic",1
CATIA,3D Tolerancing & Annotation Designer,"Leverage Model Based Design through fast 3D Tolerancing adoption for product engineering",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3d-tolerancing-and-annotation-designer/?role=true,Designer / Artisan,"3D Tolerancing (MBD)","Generic",2
3DEXP PLATFORM,3DEXPERIENCE Engineer for Education,"Extensive portfolio of roles and apps covering the entire design-to-manufacture process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3dexperience-engineer-for-education/?role=true,Designer / Artisan,"Full Suite (Education)","Education",1
ENOVIA,3DEXPERIENCE Platform for Education,"Collaboration at the heart of teaching from anywhere, anytime and from any device",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3dexperience-platform-for-education/?role=true,Librarian / Scribe,"Education Collaboration","Education",1
SOLIDWORKS,3DEXPERIENCE SOLIDWORKS for Education,"The easy to use, robust, mechanical design solution for everyone",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3dexperience-solidworks-for-education/?role=true,Designer / Artisan,"Education (SOLIDWORKS)","Education",1
ENOVIA,3DEXPERIENCE Transition Assistant,"3DEXPERIENCE Transition Assistant enables SOLIDWORKS PDM Professional or ENOVIA SmarTeam customers to smoothly migrate their …",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3dexperience-transition-assistant/?role=true,Librarian / Scribe,"Migration & Transition","Generic",3
3DEXP PLATFORM,3DSwymer,"Connect people & data to foster innovation",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/3dswymer/?role=true,Librarian / Scribe,"Collaboration","Generic",1
CATIA,Accommodation Designer for Marine and Offshore,"Define and optimize the design of ship accommodations including wall, ceiling, deck cov…",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/accommodation-designer-for-marine-and-offshore/?role=true,Designer / Artisan,"Marine Interiors","Marine & Offshore",3
SIMULIA,Additive Manufacturing Analysis Engineer,"Realistic simulation of the additive manufacturing process enables companies to optimize part des…",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/additive-manufacturing-analysis-engineer/?role=true,Engineer / Analyst,"Additive Manufacturing (Simulation)","Generic",3
DELMIA,Additive Manufacturing Engineer,"Prepare and compute the additive manufacturing process for the most common polymer 3D printing techniques for all users.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/additive-manufacturing-engineer/?role=true,Craftsman / Maker,"Additive Manufacturing","Generic",2
DELMIA,Additive Manufacturing Quality Analyst,"Leverage virtual and real data to analyze the quality of a printed part",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/additive-manufacturing-quality-analyst/?role=true,Engineer / Analyst,"Additive Mfg Quality","Generic",3
CATIA,Airframe Composites Designer,"Cut design cycle times of airframe composites structures by designing in context of collaborative design loops while accounting for manufacturing constraints.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/airframe-composites-designer/?role=true,Designer / Artisan,"Composites (Aerospace)","Aerospace",3
CATIA,Airframe Composites Manufacturing Engineer,"Ensure producibility of aerospace mechanical parts made of composites materials at all stages of the engineering process.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/airframe-composites-manufacturing-engineer/?role=true,Craftsman / Maker,"Composites (Aerospace)","Aerospace",3
CATIA,Airframe Fastener Engineer,"Create efficiently with high accuracy, the fastening assembly definition, enabling simulation and manufacturing processes, on a complete Airframe structure.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/airframe-fastener-engineer/?role=true,Designer / Artisan,"Aerospace Fasteners","Aerospace",3
SIMULIA,All Physics Analyst,"Connects established products to the 3DEXPERIENCE platform enabling use of collaboration, visualization & design traceability for all simulation disciplines",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/all-physics-analyst/?role=true,Engineer / Analyst,"Multi-Physics Analysis","Generic",3
SIMULIA,Antenna Placement Electromagnetics Engineer,"Enable antenna system integrators and simulation specialists to collaborate on assessment and validation of installed antenna performance.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/antenna-placement-electromagnetics-engineer/?role=true,Engineer / Analyst,"Electromagnetics","Generic",3
CATIA,Appearance & Rendering Designer,"Accelerate the material & package definition for your growing product variation using integrated modeling, visualization and defect detection capabilities",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/appearance-and-rendering-designer/?role=true,Designer / Artisan,"Appearance & Rendering","Generic",1
ENOVIA,Applications Developer,"Provides software engineering tools, API, documentation and examples supporting development of new 3DEXPERIENCE® apps.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/applications-developer/?role=true,Librarian / Scribe,"Platform Development","Generic",3
ENOVIA,Artwork Coordinator,"Reduce cost of recalls due to incorrect or missing copy on labels",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/artwork-coordinator/?role=true,Librarian / Scribe,"Artwork & Labeling","Generic",2
DELMIA,Assembly Riveting System Programmer for Aerospace,"Program, simulate, and validate complex Robot drilling and riveting systems in a 3D Virtual Factory context",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/assembly-riveting-system-programmer-for-aerospace/?role=true,Craftsman / Maker,"Robotics & Automation (Aerospace)","Aerospace",3
DELMIA,Assembly Robot Programmer,"Program, simulate, and validate Robotic assembly systems in a 3D Virtual Factory context",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/assembly-robot-programmer/?role=true,Craftsman / Maker,"Robotics & Automation","Generic",2
DELMIA,Assembly Simulation Engineer,"Perform feasibility studies of your assembly or disassembly process to mitigate problems, accelerate time-to-market and improve first-time quality",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/assembly-simulation-engineer/?role=true,Craftsman / Maker,"Process Simulation","Generic",2
DELMIA,Assembly Simulation Expert,"Quickly perform feasibility studies of your complex assembly or disassembly process to mitigate problems and accelerate time-to-market",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/assembly-simulation-expert/?role=true,Craftsman / Maker,"Process Simulation","Generic",2
DELMIA,Assembly Structure Preparer for Marine,"Define the manufacturing assembly strategy and produce assembly drawings",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/assembly-structure-preparer-for-marine/?role=true,Craftsman / Maker,"Marine Assembly","Marine & Offshore",3
ENOVIA,Asset Survey Manager,"Cadence and Organize survey captures from the Real to share accurate assets definitions with 3DEXPERIENCE users any time on any device.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/asset-survey-manager/?role=true,Librarian / Scribe,"Asset Data Management","Generic",2
CATIA,Avionics Architect,"Ensure consistency of Avionics architectures data, of complex Aircraft systems, to prepare, by connecting the dots, detailed design.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/avionics-architect/?role=true,Designer / Artisan,"Avionics Systems (Aerospace)","Aerospace",3
BIOVIA,BIOVIA Pipeline Pilot Server,N/A,https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/biovia-pipeline-pilot-server/?role=true,Alchemist / Scholar,"Scientific Data Processing","Generic",3
BIOVIA,BIOVIA ScienceCloud CISPro with Content User,N/A,https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/biovia-sciencecloud-cispro-with-content-user/?role=true,Alchemist / Scholar,"Lab/Scientific Collaboration","Generic",3
BIOVIA,Battery Materials Scientist,"Create, manage and run simulations to predict material performance and improve battery electrolyte design",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/battery-materials-scientist/?role=true,Alchemist / Scholar,"Materials Science","High-Tech",1
BIOVIA,Biopharma Quality Management Analyst,"Raise new quality events and contribute to existing quality tasks, monitor progress, status, and KPI metrics.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/biopharma-quality-management-analyst/?role=true,Alchemist / Scholar,"Biopharma Quality","Life Sciences",2
CATIA,Boat Interior Designer,"An Unified Industrial Design workflow solution to Imagine, Create & Experience the interior Design of yachts and boats for the best passenger Experience",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/boat-interior-designer/?role=true,Designer / Artisan,"Marine Interiors","Marine & Offshore",3
CATIA,Boat Modeler,"A powerful way to create and manage sophisticated mechanical design for Boats",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/boat-modeler/?role=true,Designer / Artisan,"Boat Mechanical Design","Marine & Offshore",2
CATIA,Body Fastener Designer,"Accelerate complex body in white fastened assemblies design, simulation and manufacturing, thanks to automated fasteners instantiation capabilities",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/body-fastener-designer/?role=true,Designer / Artisan,"Fasteners (Automotive)","Transportation & Mobility",2
CATIA,Body Structure Designer,"With respect of manufacturing rules, accelerate the detailed design of complex body-in-white structures, including fasteners",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/body-structure-designer/?role=true,Designer / Artisan,"Body-in-White (Automotive)","Transportation & Mobility",2
DELMIA,Body-in-White Robot Programmer,"Define, validate and program Body-in-White robot systems offline in the Virtual Factory",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/body-in-white-robot-programmer/?role=true,Craftsman / Maker,"Robotics & Automation (Automotive)","Transportation & Mobility",3
